uri,title,popularity,base_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,n_artists,n_genres,followers_0,followers_1,followers_2,followers_3,followers_4,followers_5,followers_6
01Lr5YepbgjXAWR9iOEyH1,Love Sosa,72,79,0.772,0.413,0,-8.193,0,0.089,0.0361,0,0.111,0.211,131.965,246213,4,1,1,0,0,3075008,0,0,0,0
01Rc6yXYtujAnMaR1NME11,I'll Keep You Safe,74,71,0.752,0.0625,7,-24.694,1,0.0557,0.945,0.819,0.178,0.462,114.982,185876,4,2,1,1039460,0,0,0,0,0,0
01TnVDiet1DFTsyWKUKovl,NUMB,78,91,0.414,0.416,11,-8.024,0,0.0251,0.1,0.179,0.131,0.196,159.91,186268,4,1,1,0,0,33466773,0,0,0,0
01hEpx8jnOG4q7nDK14Rhi,malibu,72,67,0.733,0.736,7,-5.123,0,0.111,0.028,0,0.131,0.669,147.897,166216,4,1,1,517625,0,0,0,0,0,0
01t4LvLXFewoOhof9gVhht,"33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation X (Presto)",17,61.5,0.329,0.496,0,-20.343,1,0.0532,0.987,0.944,0.144,0.229,182.02,37493,4,2,1,4235999,0,0,0,0,0,0
01w1gcT35deZkAjg00Vvzy,Via Da Te,53,49,0.863,0.887,4,-4.798,0,0.0493,0.181,0,0.0397,0.961,127.95,178512,4,1,1,54113,0,0,0,0,0,0
01wYUno1HsgcHxzsERAVXL,Í,28,16,0.732,0.711,9,-9.988,0,0.0434,0.0604,0.168,0.0768,0.918,110.003,194000,4,1,1,1246,0,0,0,0,0,0
023H4I7HJnxRqsc9cqeFKV,I Got U,69,74.5,0.636,0.761,9,-7.752,0,0.035,0.00377,0.00784,0.0851,0.463,120.837,285596,4,2,1,0,0,0,976958,0,0,0
0247StOpd3AkeBQzANX4Zf,Do They Know It's Christmas? - 1984 Version,89,76,0.599,0.642,0,-6.936,1,0.0363,0.164,3.33E-05,0.0992,0.349,115.412,222533,4,1,1,21942,0,0,0,0,0,0
02BJ8AciQdCFqevG4UfVe1,Equipe (feat. Shiva),42,64,0.889,0.715,7,-5.873,0,0.0545,0.184,0,0.108,0.785,123.999,216774,4,2,1,0,0,599903,0,0,0,0
02FaKXXL7KUtRc7K0k54tL,Cozy Little Christmas,83,88,0.774,0.608,7,-6.264,1,0.128,0.128,0,0.0895,0.56,137.494,182521,4,1,1,0,0,0,0,0,20221146,0
02MWAaffLxlfxAUY7c5dvx,Heat Waves,93,87,0.761,0.525,11,-6.9,1,0.0944,0.44,6.70E-06,0.0921,0.531,80.87,238805,4,1,1,0,0,0,0,0,2298318,0
02UzAXISeZFFsfgs33dDwc,"Waltz No. 8 in A-Flat Major, Op. 64 No. 3: Moderato",1,61,0.169,0.165,3,-22.673,1,0.0427,0.993,0.883,0.149,0.156,62.45,171893,4,2,1,2627206,0,0,0,0,0,0
02XnQdf7sipaKBBHixz3Zp,Paparazzi,73,88,0.762,0.692,5,-3.973,0,0.0438,0.113,0,0.094,0.397,114.906,208307,4,1,1,0,0,0,0,0,20502345,0
02awCaNU1SgRt1ol80wRDP,Pillole,63,68,0.679,0.581,2,-9.297,1,0.104,0.523,0,0.0928,0.443,82.054,196098,4,1,1,0,0,0,0,257510,0,0
02itaCXOdC54J0ISjqqFAp,All Around The World (La La La),77,73,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,147840,4,2,2,0,0,0,2291470,20392,0,0
02kDW379Yfd5PzW5A6vuGt,Lemonade,83,83.5,0.799,0.66,1,-6.153,0,0.079,0.256,0,0.111,0.471,140.04,195429,4,4,2,1916155,0,3726178,0,0,0,0
02kMCCU0XtQf0Ds7OIAoFP,Non sapere mai dove si va,59,72,0.549,0.409,7,-9.533,1,0.283,0.696,0,0.0961,0.492,79.992,182600,4,1,1,0,0,0,0,2572169,0,0
02rdXe0KhMe8p6ZHzYtuw0,lost souls (with Brent Faiyaz),84,83,0.649,0.347,1,-7.67,0,0.404,0.485,3.24E-05,0.154,0.176,169.994,269728,4,2,2,0,0,629190,0,0,2028872,0
